entidad_sancionada,nif,tipo_entidad,sector,procedimiento,expediente,fecha_resolucion,articulo_infringido,normativa,tipo_infraccion,gravedad,cuantia_euros,cuantia_reducida_euros,motivo_sancion,url_resolucion
Vodafone España S.A.U.,A80907397,Gran empresa,Telecomunicaciones,PS/00203/2023,EXP202222555,29/02/2024,Artículo 6.1 RGPD,RGPD,Tratamiento ilícito de datos (SIM Swapping),Grave,100000,60000,Duplicado de tarjeta SIM sin verificar identidad del titular,https://www.aepd.es/documento/ps-00203-2023.pdf
Endesa Energía S.A.U.,A81948077,Gran empresa,Energía,PS/00002/2023,EXP202200234,25/10/2023,"Artículos 5.1.f), 32, 33, 34 y 44 RGPD",RGPD,Brecha de seguridad,Muy grave,6100000,6100000,Acceso no autorizado a datos de clientes; no se informó a los afectados de la brecha,https://www.aepd.es/documento/ps-00002-2023.pdf
CaixaBank S.A.,A08663619,Gran empresa,Entidades financieras,PS/00477/2019,EXP201900477,25/10/2023,"Artículos 13 y 14 RGPD",RGPD,Falta de información al interesado,Muy grave,6000000,6000000,Incumplimiento del deber de información en la recogida de datos personales,https://www.aepd.es/documento/ps-00477-2019.pdf
CaixaBank S.A.,A08663619,Gran empresa,Entidades financieras,PS/00020/2023,EXP202300020,26/10/2023,"Artículos 5.1.f), 25 y 32 RGPD",RGPD,Brecha de confidencialidad,Muy grave,5000000,5000000,Un cliente accedió desde su área personal a documentos con datos de terceros,https://www.aepd.es/documento/ps-00020-2023.pdf
Banco Bilbao Vizcaya Argentaria S.A.,A48265169,Gran empresa,Entidades financieras,PS/00070/2019,EXP201900070,27/11/2020,"Artículos 6, 13 y 14 RGPD",RGPD,Tratamiento ilícito y falta de información,Muy grave,5000000,5000000,Recogida de datos con bases legales inválidas e incumplimiento del deber de información,https://www.aepd.es/documento/ps-00070-2019.pdf
I-De Redes Eléctricas Inteligentes S.A.U.,A95864670,Gran empresa,Energía,PS/00145/2023,EXP202300145,05/02/2024,"Artículos 5.1.f) y 32 RGPD",RGPD,Brecha de seguridad,Muy grave,3500000,3500000,Ciberataque que expuso datos de 1.350.000 clientes por falta de medidas de seguridad,https://www.aepd.es/documento/ps-00145-2023.pdf
Mercadona S.A.,A46103834,Gran empresa,Comercio,PS/00120/2021,EXP202100120,23/07/2021,"Artículos 5.1.c), 6, 9, 12, 13, 25.1 y 35 RGPD",RGPD,Uso desproporcionado de datos biométricos,Muy grave,3150000,3150000,Sistema de reconocimiento facial en establecimientos sin base legal adecuada,https://www.aepd.es/documento/ps-00120-2021.pdf
Banco Bilbao Vizcaya Argentaria S.A.,A48265169,Gran empresa,Entidades financieras,PS/00313/2023,EXP202300313,2023,Artículo 6.1 RGPD,RGPD,Contratación fraudulenta,Muy grave,1640000,1640000,Suplantación de identidad: contratación de productos sin autorización del titular y fichero de morosos,https://www.aepd.es/documento/ps-00313-2023.pdf
Quirón Prevención S.L.U.,B95800165,Gran empresa,Salud,PS/00001/2024,EXP202315571,24/09/2024,Artículo 28 RGPD,RGPD,Subcontratación sin autorización del responsable,Grave,30000,30000,Centro de salud subcontrató servicios sin informar previamente al responsable del tratamiento,https://www.aepd.es/documento/ps-00001-2024.pdf
Trive Credit Spain S.L.,B09659812,Gran empresa,Entidades financieras/acreedoras,PS/00495/2024,EXP202415922,2025,Artículo 83.6 RGPD,RGPD,Incumplimiento de resolución previa,Muy grave,225000,180000,No adoptó las medidas ordenadas por la AEPD en una resolución firme anterior,https://www.aepd.es/documento/ps-00495-2024.pdf
